id,cnvd_title,cnvd_id,cnvd_date,cnvd_level,cnvd_product,cnvd_cve_id,cnvd_bug_id,cnvd_description,cnvd_reference,cnvd_solution,cnvd_patch,cnvd_update
1,Advantech WebAccess/SCADA SQL注入漏洞（CNVD-2019-03260）,CNVD-2019-03260,2019/1/28,中,AdvantechWebAccess/SCADA8.3,CVE-2019-6523,0,AdvantechWebAccess/SCADA是研华（Advantech）公司的一套基于浏览器架构的SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。AdvantechWebAccess/SCADA8.3版本中存在SQL注入漏洞，该漏洞源于程序未能正确地过滤SQL命令的输入，远程攻击者可通过发送特制的请求利用该漏洞执行SQL命令。,https://ics-cert.us-cert.gov/advisories/ICSA-19-024-01,厂商已发布了漏洞修复程序，请及时关注更新：https://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess/SCADA SQL注入漏洞（CNVD-2019-03260）的补丁,2019/1/30
2,LCDS LAquis SCADA越界读取漏洞,CNVD-2019-02388,2019/1/22,低,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-19004,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在越界读取漏洞，攻击者可借助特制的项目文件利用该漏洞泄露数据。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LCDS LAquis SCADA越界读取漏洞的补丁,2019/1/22
3,Advantech WebAccess/SCADA SQL注入漏洞（CNVD-2019-03260）,CNVD-2019-03260,2019/1/28,中,AdvantechWebAccess/SCADA8.3,CVE-2019-6523,0,AdvantechWebAccess/SCADA是研华（Advantech）公司的一套基于浏览器架构的SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。AdvantechWebAccess/SCADA8.3版本中存在SQL注入漏洞，该漏洞源于程序未能正确地过滤SQL命令的输入，远程攻击者可通过发送特制的请求利用该漏洞执行SQL命令。,https://ics-cert.us-cert.gov/advisories/ICSA-19-024-01,厂商已发布了漏洞修复程序，请及时关注更新：https://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess/SCADA SQL注入漏洞（CNVD-2019-03260）的补丁,2019/1/30
4,LCDS LAquis SCADA身份验证绕过漏洞,CNVD-2019-02390,2019/1/22,中,LCDS-LeãoConsultoriaeDesenvolvimentodeSistemasLTDAMELAquisSCADA4.1.0.3870,CVE-2018-19000,0,LCDSLAquisSCADA是巴西LCDS公司的一套SCADA（数据采集与监视控制）系统。该系统主要用于对拥有通信技术的设备进行数据采集和过程控制。LCDSLAquisSCADA4.1.0.3870版本中存在身份验证绕过漏洞，攻击者可利用该漏洞访问敏感数据。,https://ics-cert.us-cert.gov/advisories/ICSA-19-015-01,厂商已发布了漏洞修复程序，请及时关注更新：https://laquisscada.com/,LCDS LAquis SCADA身份验证绕过漏洞的补丁,2019/1/22
5,SIEMENS CP1604和CP1616设备拒绝服务漏洞,CNVD-2019-00987,2019/1/10,高,SIEMENSCP1604<V2.8SIEMENSCP1616<V2.8,CVE-2018-13808,0,SIEMENSCP1604是用于将PCI-104系统连接到PROFINETIO。SIEMENSCP1616是一种创新产品，安装在PC中，用于PROFINET通讯。SIEMENSCP1604和CP1616设备存在拒绝服务漏洞。允许攻击者提取内部通信数据或导致拒绝服务情况。,https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,SIEMENS CP1604和CP1616设备拒绝服务漏洞的补丁,2019/1/10
6,SIEMENS CP1604和CP1616设备跨站脚本漏洞,CNVD-2019-00988,2019/1/10,中,SIEMENSCP1604<V2.8SIEMENSCP1616<V2.8,CVE-2018-13809,0,SIEMENSCP1604是用于将PCI-104系统连接到PROFINETIO。SIEMENSCP1616是一种创新产品，安装在PC中，用于PROFINET通讯。SIEMENSCP1604和CP1616设备存在跨站脚本漏洞。攻击者可利用漏洞使信任用户被欺骗到跟踪恶意链接。,https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-559174.pdf,SIEMENS CP1604和CP1616设备跨站脚本漏洞的补丁,2019/1/10
7,Allen-Bradley PowerMonitor 1000跨站脚本漏洞,CNVD-2019-03462,2019/1/31,中,RockwellAutomationAllen-BradleyPowerMonitor1000无,CVE-2018-19615,0,RockwellAutomationAllen-BradleyPowerMonitor1000是美国罗克韦尔（RockwellAutomation）公司的一款电源监控设备。RockwellAutomationAllen-BradleyPowerMonitor1000中的/Security/Security.shtm页面存在跨站脚本漏洞。远程攻击者可借助/Security/cgi-bin/securityURI利用该漏洞注入任意的Web脚本或HTML。,https://nvd.nist.gov/vuln/detail/CVE-2018-19615,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.rockwellautomation.com/site-selection.html,,2019/1/31
8,PLC Wireless Router GPN2.4P21-C-CN跨站脚本漏洞,CNVD-2018-26914,2018/12/29,中,中国移动通信集团公司PLCWirelessRouterGPN2.4P21-C-CN,CVE-2018-20326,0,PLCWirelessRouterGPN2.4P21-C-CN是一款无线路由器产品。PLCWirelessRouterGPN2.4P21-C-CN中存在跨站脚本漏洞，远程攻击者可利用该漏洞获取敏感信息。,https://packetstormsecurity.com/files/150918/PLC-Wireless-Router-GPN2.4P21-C-CN-Cross-Site-Scripting.html,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.10086.cn/,,2018/12/29
9,Siemens SIMATIC S7-1500 CPU拒绝服务漏洞,CNVD-2019-00984,2019/1/10,高,SIEMENSSIMATICS7-1500CPU>=V2.0，<V2.5SIEMENSSIMATICS7-1500CPU<=V1.8.5,CVE-2018-16558,0,SiemensSIMATICS7-1500是模块化结构的控制器系列产品。SiemensSIMATICS7-1500CPU存在拒绝服务漏洞。允许未经身份验证的远程攻击者导致设备的拒绝服务状态。,https://cert-portal.siemens.com/productcert/pdf/ssa-180635.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-180635.pdf,Siemens SIMATIC S7-1500 CPU拒绝服务漏洞的补丁,2019/1/10
10,Siemens SIMATIC S7-1500 CPU拒绝服务漏洞（CNVD-2019-00985）,CNVD-2019-00985,2019/1/10,高,SIEMENSSIMATICS7-1500CPU>=V2.0，<V2.5SIEMENSSIMATICS7-1500CPU<=V1.8.5,CVE-2018-16559,0,SiemensSIMATICS7-1500是模块化结构的控制器系列产品。SiemensSIMATICS7-1500CPU存在拒绝服务漏洞。允许未经身份验证的远程攻击者导致设备的拒绝服务状态。,https://cert-portal.siemens.com/productcert/pdf/ssa-180635.pdf,用户可参考如下供应商提供的安全公告获得补丁信息：https://cert-portal.siemens.com/productcert/pdf/ssa-180635.pdf,Siemens SIMATIC S7-1500 CPU拒绝服务漏洞（CNVD-2019-00985）的补丁,2019/1/10
